10046,189,41,117,0,101
10073,180,22,109,0,90
10097,179,23,100,0,94
10123,146,24,92,0,91
10147,144,20,80,0,96
10172,143,6,74,0,93
10196,140,1,68,0,90
10219,139,0,63,0,90
10242,140,0,62,0,93
10265,140,2,67,0,94
10289,144,9,71,0,96
10312,143,23,78,0,94
10337,144,9,85,0,92
10359,147,23,94,0,95
10384,181,23,104,0,94
10410,181,32,113,0,95
10435,183,45,121,0,98
10461,185,39,131,0,101
10487,186,40,131,0,101
10514,185,40,129,0,101
10541,184,38,122,0,101
10567,183,58,111,0,100
10594,182,39,101,0,99
10619,181,37,94,0,94
10644,147,15,86,0,95
10669,175,0,76,0,97
10691,143,0,69,0,92
10715,141,0,68,0,93
10738,141,0,65,0,94
10762,139,0,66,0,93
10784,141,0,67,0,89
10808,142,0,70,0,90
10831,143,15,73,0,91
10856,144,8,88,0,89
10880,147,7,94,0,97
10902,179,29,104,0,97
10928,181,24,114,0,97
10953,183,24,126,0,96
10979,187,38,137,0,100
11006,185,40,133,0,101
11032,184,40,127,0,101
11059,183,38,120,0,100
11085,181,21,110,0,95
11111,179,23,102,0,97
11137,183,21,97,0,98
11161,177,0,87,0,98
11185,144,0,77,0,98
11207,143,0,70,0,97
11231,142,0,66,0,96
11254,143,0,67,0,95
11278,144,0,69,0,95
11301,146,17,73,0,97
11325,180,10,86,0,97
11350,180,23,93,0,97
11374,181,24,100,0,98
11400,183,22,108,0,99
11425,188,30,123,0,100
11452,189,41,135,1,102
11479,188,42,125,0,101
11505,187,41,119,0,101
11532,185,22,115,0,100
11558,183,22,103,0,99
11584,182,22,103,0,101
11611,181,20,95,0,99
11635,146,15,85,0,99
11659,143,14,72,0,99
11683,143,0,68,0,99
11707,142,0,66,0,99
11731,142,0,67,0,99
11754,144,0,70,0,99
11777,146,8,74,0,99
11800,146,8,85,0,98
11824,148,8,91,0,99
11847,149,21,97,0,99
11872,181,23,99,0,99
11896,182,24,104,0,100
11922,185,22,116,0,99
11948,188,22,126,0,100
11974,189,40,133,0,98
12000,188,32,126,0,97
12025,185,25,121,0,98
12051,185,24,116,0,98
12077,182,22,106,0,99
12102,180,24,98,0,96
12127,147,14,89,0,97
12151,144,0,77,0,96
12174,143,0,67,0,95
12197,142,0,59,0,93
12221,143,0,56,0,92
12245,143,0,61,0,92
12268,144,0,63,0,92
12291,144,0,64,0,92
12314,144,3,68,0,93
12338,146,7,78,0,93
12361,147,10,91,0,92
12409,182,14,105,0,94
12435,185,26,119,1,94
12461,194,86,138,15,97
12487,191,20,136,5,99
12513,191,15,130,1,100
12539,190,16,123,1,101
12566,187,22,119,0,103
12593,185,20,111,0,102
12619,183,8,107,0,104
12645,183,5,97,0,103
12670,172,7,79,0,104
12694,142,9,69,0,104
12718,142,0,63,0,102
12742,140,0,52,0,92
12766,140,0,53,0,88
12789,141,0,59,0,93
12813,142,0,62,0,93
12835,143,0,66,0,96
12859,143,0,76,0,94
12883,145,1,84,0,96
12906,177,1,95,0,96
12930,180,13,101,0,98
12955,181,23,117,0,102
12982,185,22,126,0,104
13008,190,20,137,2,103
13035,188,16,133,0,102
13061,187,21,126,0,104
13087,185,21,124,0,104
13114,183,22,115,0,103
13141,182,20,106,0,104
13167,180,21,101,0,106
13194,144,15,88,0,104
13219,142,1,76,0,104
13244,139,0,68,0,104
13269,139,0,64,0,104
13293,138,0,67,0,104
13318,138,0,68,0,103
13341,139,0,74,0,104
13366,143,21,84,0,103
13391,143,22,94,0,103
13417,177,23,99,0,103
13443,176,24,108,0,103
13469,185,78,120,0,104
13496,193,98,136,12,104
13524,191,85,134,0,103
13550,189,84,127,0,102
13577,187,50,124,0,103
13603,185,16,118,0,104
13630,183,19,109,0,105
13657,180,15,99,0,105
13682,146,7,85,0,104
13707,142,0,75,0,104
13731,137,0,67,0,104
13755,139,0,62,0,104
13780,140,0,53,0,104
13804,140,0,58,0,105
13829,142,0,63,0,104
13853,141,0,69,0,104
13878,143,0,76,0,104
13901,146,8,81,0,103
13926,175,19,94,0,104
13952,179,22,103,0,104
13978,181,22,114,0,104
14005,184,22,126,0,105
14031,188,83,136,0,105
14058,187,66,129,0,104
14085,185,62,127,0,105
14111,185,16,122,0,105
14138,183,22,112,0,105
14165,181,22,104,0,105
14191,153,19,95,0,105
14217,145,0,84,0,104
14241,143,0,74,0,104
14266,142,0,67,0,105
14289,141,0,66,0,105
14314,142,0,67,0,104
14339,143,0,68,0,105
14363,144,2,72,0,105
14388,145,5,80,0,104
14412,148,7,85,0,104
14437,177,22,97,0,104
14462,182,22,104,0,104
14488,183,25,120,0,104
14515,187,95,126,0,105
14541,189,23,138,1,103
14568,189,16,132,0,103
14595,187,16,127,0,104
14621,186,22,125,0,103
14648,184,22,115,0,93
14673,183,22,106,0,92
14699,151,0,99,0,103
14724,146,0,83,0,103
14748,143,0,76,0,103
14773,137,0,68,0,104
14796,140,0,65,0,104
14821,140,0,65,0,104
14846,142,0,68,0,104
14870,142,0,73,0,104
14895,144,5,77,0,103
14919,146,0,82,0,103
14944,147,3,99,0,93
14966,180,6,104,0,93
14991,182,9,110,0,95
15016,184,12,124,0,97
15041,188,23,138,3,99
15067,189,22,138,1,103
15093,187,22,131,0,101
15120,185,23,130,0,103
15147,184,16,123,0,93
15172,181,2,113,0,91
15197,181,0,102,0,91
15220,149,0,93,0,90
15244,146,0,84,0,89
15267,143,0,73,0,90
15291,141,0,68,0,89
15315,142,0,65,0,89
15337,143,0,64,0,90
15361,144,0,66,0,90
15384,144,0,70,0,90
15408,144,0,76,0,90
15430,146,0,80,0,91
15454,147,5,92,0,90
15477,181,8,100,0,91
15502,182,9,106,0,92
15526,183,19,119,0,93
15552,187,23,129,1,93
15578,189,23,135,9,104
15604,187,22,126,0,102
15631,185,22,126,0,103
15658,185,20,122,0,103
15684,183,17,107,0,98
15710,182,14,101,0,101
15735,148,0,90,0,99
15759,146,0,80,0,101
15784,142,0,73,0,101
15808,141,0,65,1,102
15833,140,0,60,0,103
15857,142,0,56,0,101
15881,143,0,65,0,102
15905,145,0,66,0,102
15930,146,0,76,0,100
15955,148,0,81,0,96
15978,149,0,93,0,95
16002,182,6,102,1,98
16025,183,9,107,1,100
16051,183,22,120,2,100
16077,188,23,129,2,100
16104,187,22,127,0,103
16131,185,22,125,0,101
16157,183,17,119,0,102
16184,182,14,108,0,103
16211,181,0,101,0,102
16236,147,0,88,0,101
16261,146,0,78,0,101
16285,143,0,70,0,100
16310,143,0,56,0,102
16334,142,0,53,0,102
16358,144,0,52,0,100
16383,147,0,59,0,100
16407,147,0,65,0,101
16432,149,0,75,0,98
16455,148,0,86,0,97
16478,149,0,90,0,95
16501,184,0,97,0,96
16525,185,0,103,2,97
16549,183,6,120,1,101
16575,185,11,125,2,103
16602,186,1,126,3,102
16627,186,1,124,2,101
16653,183,0,119,1,102
16678,177,0,108,0,104
16704,180,0,98,0,104
16728,175,0,94,0,104
16752,139,0,81,0,103
16777,139,0,75,0,102
16801,140,0,66,0,102
16826,144,0,55,0,101
16851,144,0,56,0,101
16874,140,0,58,0,100
16899,144,0,63,0,99
16922,145,0,74,0,96
16946,145,0,79,0,94
16969,145,0,88,0,97
16992,176,0,93,0,96
17015,177,0,103,1,98
17040,178,6,110,2,99
17065,184,9,120,3,102
17090,188,21,130,5,101
17117,187,21,121,6,100
17143,185,23,118,2,101
17170,179,13,112,1,100
17197,180,0,107,0,103
17222,177,0,98,0,103
17247,178,0,90,0,102
17270,143,0,81,0,102
17295,140,0,76,0,103
17320,140,0,67,0,102
17344,140,0,57,0,102
17369,144,0,57,0,103
17393,145,0,64,0,102
17417,148,0,74,0,101
17441,149,0,80,0,92
17465,149,0,89,0,88
17488,151,0,97,0,92
17512,182,0,100,2,89
17536,183,0,108,2,86
17560,183,6,117,2,74
17585,183,10,125,2,100
17611,184,10,128,2,99
17637,185,2,123,2,101
17663,183,0,118,2,102
17688,181,0,111,1,102
17714,179,0,100,0,96
17738,173,0,95,0,96
17762,171,0,83,0,95
17784,171,0,76,0,98
17808,170,0,70,0,96
17832,173,0,61,0,93
17855,174,0,62,0,89
17878,175,0,66,1,80
17901,177,58,74,0,79
17926,178,71,75,0,71
17950,178,0,78,0,79
17974,179,0,90,0,77
17997,181,0,101,2,87
18021,182,0,106,2,94
